NLSitNummer;DatumFileBegin;DatumFileEind;TijdFileBegin;TijdFileEind;FileZwaarte;GemLengte;FileDuur;HectometerKop;HectometerStaart;RouteLet;RouteNum;RouteOms;hectometreringsrichting;VERKEERSKUNDIGWEGVAKVILD;TRAJECTVILD;OorzaakGronddetail;OorzaakVerloop;OorzaakCodeVerloop;OorzaakCode;Oorzaak_1;Oorzaak_2;Oorzaak_3;Oorzaak_4
3908337;2024-01-17;2024-01-17;15:41:29;17:15:03;339,422;3628,000;93,567;52,4;55,3;A;27;A27;aflopend;Everdingen - Lexmond;Utrecht - Gorinchem;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 94];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3908338;2024-01-17;2024-01-17;15:41:29;15:46:01;11,773;2597,000;4,533;208,6;210,8;A;2;A2;aflopend;Grathem - Kelpen-Oler;Maastricht - Eindhoven;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 5];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3908339;2024-01-17;2024-01-17;15:41:29;16:08:00;90,428;3410,000;26,517;61,2;59,1;A;4;A4;oplopend;Delft - Ketheltunnel;Den Haag - Rotterdam;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 27];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3908340;2024-01-17;2024-01-17;15:41:29;15:43:00;3,185;2100,000;1,517;41,8;43,9;A;73;A73;aflopend;Maasbree - Blerick;Nijmegen - Maasbracht;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 2];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3908341;2024-01-17;2024-01-17;15:42:29;15:44:00;5,915;3900,000;1,517;13,5;9,6;A;13;A13;oplopend;Delft-Zuid - Rotterdam The Hague Airport;Rijswijk - Rotterdam;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 2];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3908436;2024-01-17;2024-01-17;16:11:29;16:13:00;3,185;2100,000;1,517;30,3;28,2;A;10;A10;oplopend;Amsterdam-Hemhavens - Coentunnel;Knooppunt De Nieuwe Meer - Knooppunt Coenplein;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 2];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3908437;2024-01-17;2024-01-17;16:11:29;16:15:02;45,472;12809,00;3,550;254,9;241,7;A;2;A2;oplopend;Kruisdonk - Koning Willem-Alexandertunnel;Maastricht - Belgische grens;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 4];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3908438;2024-01-17;2024-01-17;16:11:29;16:15:02;10,283;2897,000;3,550;209,9;206,9;A;2;A2;oplopend;Kelpen-Oler - Grathem;Eindhoven - Maastricht;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 4];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3908439;2024-01-17;2024-01-17;16:11:29;16:14:00;5,563;2211,000;2,517;142,6;140,3;A;59;A59;oplopend;Rosmalen - Rosmalen-Oost;'s-Hertogenbosch - Oss;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 3];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3908441;2024-01-17;2024-01-17;16:12:30;16:46:02;91,290;2722,000;33,533;78,7;81,4;A;27;A27;aflopend;Rijnsweerd - Lunetten;Utrecht - Gorinchem;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 34];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3908533;2024-01-17;2024-01-17;16:31:30;18:05:05;404,560;4323,000;93,583;52,7;48,2;A;4;A4;oplopend;Rijswijk - Den Haag-Zuid;Den Haag - Rotterdam;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 94];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3908534;2024-01-17;2024-01-17;16:31:30;16:33:00;3,450;2300,000;1,500;140,6;142,9;A;50;A50;aflopend;Bankhoef - Maasbrug;Arnhem - Oss;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 2];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3908535;2024-01-17;2024-01-17;16:31:30;16:40:03;17,795;2081,000;8,550;19,3;17,3;N;35;N35;oplopend;Deventer - Ommen;Zwolle - Almelo;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 9];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3908536;2024-01-17;2024-01-17;16:32:30;16:38:00;12,222;2222,000;5,500;46,2;44,1;A;1;A1;oplopend;Hoevelaken - Barneveld;Amersfoort - Apeldoorn;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 6];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3908538;2024-01-17;2024-01-17;16:32:30;16:39:00;8,902;1369,000;6,500;169,9;168,5;N;2;N2;oplopend;Waalre - Leenderheide;Batadorp - Leenderheide;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 6];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3908621;2024-01-17;2024-01-17;16:51:30;16:53:00;3,150;2100,000;1,500;78,7;80,8;A;27;A27;aflopend;Rijnsweerd - Lunetten;Utrecht - Gorinchem;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 2];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3908622;2024-01-17;2024-01-17;16:52:31;16:56:00;7,940;2279,000;3,483;34,7;36,9;A;27;A27;aflopend;Industriegebied Avelingen - Merwedebrug;Gorinchem - Breda;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 3];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3908623;2024-01-17;2024-01-17;16:52:31;16:54:00;5,488;3700,000;1,483;185,7;189,4;A;2;A2;aflopend;Wildenberg - Budel;Maastricht - Eindhoven;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 1];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3908624;2024-01-17;2024-01-17;16:52:31;16:55:03;5,433;2145,000;2,533;217,7;219,7;A;2;A2;aflopend;Maasbracht - Brug Wessem;Maastricht - Eindhoven;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 3];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3908625;2024-01-17;2024-01-17;16:52:31;17:05:03;35,202;2809,000;12,533;169,2;167,2;A;2;A2;oplopend;De Hogt - Leenderheide;Eindhoven - Maastricht;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 13];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3908713;2024-01-17;2024-01-17;17:09:31;17:54:00;123,844;2784,000;44,483;45,7;47,8;A;20;A20;aflopend;Moordrecht - Nieuwerkerk aan den IJssel;Gouda - Hoek van Holland;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 44];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
